id	en1	jp1	en2	jp2
5728	totally	完全に	He said that the movie was totally amazing.	彼はその映画が完全に素晴らしいと言った。
5729	equally	平等に、同等に	The rewards should be equally distributed since they all put in the same effort as a team.	彼らはチームで同じ努力をしているので、報酬は平等に分配されるべきです。
5730	constantly	常に、絶えず	She is constantly passionate about learning new things.	彼女は常に新しいことを学ぶことに情熱を注いでいます。
5731	decoration	装飾	She decorated beautifully for the party.	彼女はパーティーのために素晴らしい装飾を施しました。
5732	option	選択肢	Several options were proposed at the meeting.	会議では、いくつかの選択肢が提案されました。
5733	factor	要素、因子	To succeed, it is essential to consider several important factors.	成功するためには、いくつかの重要な要素を考慮する必要があります。
5734	injured	負傷した、怪我をした	He injured his leg during the soccer match.	彼はサッカーの試合中に足を負傷しました。
5735	satisfied	満足している	He is satisfied with the results of his work.	彼は自分の仕事の成果に満足しています。
5736	bored	退屈な	He was bored with the dull lecture.	彼は退屈な授業にうんざりしていました。
5737	exhausted	疲れた	I am feeling exhausted after a long day.	私は長い一日を過ごしたので、非常に疲れています。
5738	campaign	キャンペーン	She launched a campaign to promote environmental protection.	彼女は環境保護を促進するためのキャンペーンを立ち上げました。
5739	advertisement	広告	A new advertisement for the shampoo is playing on television.	新しいシャンプーの広告がテレビで流れています。
5740	editor	編集者	The editor made revisions to enhance the manuscript's appeal.	編集者は原稿をより魅力的にするために手を加えました。
5741	demonstration	デモンストレーション、実演	A demonstration was conducted to explain how to use the new product.	新製品の使い方を説明するために、デモンストレーションが行われました。
5742	owner	所有者、オーナー	The owner carefully manages their property.	オーナーは自分の財産を大切に管理しています。
5743	talented	才能のある、優れた	She is a talented musician who performs wonderfully every evening.	彼女は才能のある音楽家で、毎晩素晴らしい演奏をしています。
5744	imagination	想像力	Imagination is the key to generating new ideas.	想像力は新しいアイデアを生み出す鍵です。
5745	nationality	国籍	She is of American nationality and always takes pride in her culture.	彼女はアメリカ国籍で、いつも自国の文化を誇りに思っています。
5746	insist	主張する、譲らない	She continued to insist on her opinion.	彼女は自分の意見を主張し続けました。
5747	chase	追いかける	He chased the dog around the park.	彼は公園で犬を追いかけました。
5748	fee	料金、手数料	He agreed to pay the fee for the service.	彼はサービスの料金を支払うことに同意しました。
5749	individually	個々に、個別に	They expressed their opinions individually.	彼らは個々に意見を述べました。
5750	physically	身体的に、肉体的に	He goes to the gym every day to become physically stronger.	彼は身体的に強くなるために毎日ジムに通っています。
5751	heavily	重く、大きく、激しく	He sighed heavily as he climbed the stairs.	彼は重く息を吐き出しながら、階段を上りました。
5752	properly	適切に、正しく	He worked hard to finish the task properly.	彼は仕事を適切に終わらせるために、一生懸命に努力しました。
5753	amount of	量、額	This project requires a significant amount of funding.	このプロジェクトには、多くの資金が必要です。
5754	nuclear	核	Nuclear energy brings many benefits to our lives, but it is also essential to consider safety issues.	核エネルギーは、私たちの生活に多くの利点をもたらす一方で、安全性の問題も考慮する必要があります。
5755	flexible	柔軟な	She has a flexible mindset, which allows her to handle various problems effectively.	彼女は柔軟な考え方を持っているので、さまざまな問題にうまく対処できます。
5756	domestic	国内の、家庭の	They launched a new product aimed at the domestic market.	彼らは国内の市場をターゲットにした新しい製品を発表しました。
5757	neither do i	私もそうではありません。	"When he said he wasn't going, I replied, 'Neither do I.'"	「彼は行かない」と言ったとき、私は「私もそうではありません」と返事しました。
5758	log into	ログインする	He logged into his account to access the important documents.	彼は重要な書類にアクセスするために、自分のアカウントにログインしました。
5759	inherit	相続する、遺伝する	He inherited his tall stature from his mother.	彼は母から高い身長を相続しました。
5760	-in-law	義理の	My sister-in-law is coming over to visit.	義理の妹が家に遊びに来ることになりました。
5761	conclude	結論を出す	We concluded that we should proceed with the project after the meeting.	会議が終了した後、私たちは次のように結論を出しました。
5762	generate	生成する	Generating new ideas is a great way to unleash your creativity.	新しいアイデアを生成することは、創造力を発揮する素晴らしい方法です。
5763	regulation	規制	The new regulation significantly impacted how businesses operate.	新しい規制が企業の運営方法に大きな影響を与えました。
5764	transplant	移植	He is going to undergo a heart transplant surgery.	彼は心臓移植手術を受けることになりました。
5765	economy	経済	The government is trying to invigorate the economy by introducing new policies.	政府は新しい政策を導入して経済を活性化させようとしています。
5766	unexpectedly	予期しない、思いがけない	He was surprised by the unexpected event.	彼は予期しない出来事に驚きました。
5767	emotionally	感情的に	She was emotionally drained and found it hard to even talk.	彼女は感情的に疲れていて、話すことさえ難しかった。
5768	drastically	劇的に、急激に	His work style changed drastically.	彼の仕事のスタイルは劇的に変わりました。
5769	initially	初めに、最初に	It is important to plan initially.	初めに計画を立てることが大切です。
5770	fortunately	幸運にも	Fortunately, he passed the exam.	幸運にも、彼はその試験に合格しました。
5771	background	背景、背後	She sat quietly pondering while enjoying the beautiful sunset in the background.	背景が美しい夕日を見ながら、彼女は静かに考え込んだ。
5772	complicated	複雑な	The problem is so complicated that it's hard to solve quickly.	その問題はとても複雑なので、すぐに解決するのは難しいです。
5773	potential	可能性、潜在能力	He has great potential in his talent.	彼の才能には大きな可能性があります。
5774	vague	あいまいな	His explanation was vague, and I couldn't understand what he meant.	彼の説明はあいまいで、何を意味しているのか分かりませんでした。
5775	nuclear power	核エネルギー	Nuclear power is being recognized as one of the environmentally friendly sources of electricity generation.	核エネルギーは、環境に優しい電力供給の一つとして注目されています。
5776	promote	促進する、昇進させる	He held a meeting to promote the new project.	彼は新しいプロジェクトを促進するために会議を開催しました。
5777	involve	関与する、巻き込む	Many people are involved in the project.	プロジェクトには多くの人が関与しています。
5778	indirectly	間接的に	He indirectly let her know about his feelings.	彼は間接的に彼女の気持ちを教えてくれました。
5779	currently	現在、今	We are currently monitoring the situation closely.	私たちは現在の状況を注意深く観察しています。
5780	immediately	即座に、すぐに	He reacted immediately and solved the problem.	彼は即座に反応し、問題を解決しました。
5781	completely	完全に	He completely understands the problem.	彼はその問題を完全に理解しています。
5782	in any case	いずれにせよ	In any case, we need to complete the project on time.	いずれにせよ、私たちはプロジェクトを期限内に終わらせなければなりません。
5783	personal	個人的な	He couldn't attend the event for personal reasons.	彼は個人的な理由でそのイベントに参加できませんでした。
5784	casual	カジュアル	He enjoys meeting his friends in casual attire.	彼はカジュアルな服装で友達と会うのが好きです。
5785	distinction	区別、特異性	She received special distinction for her excellent grades in school.	彼女は学校での成績が優れており、特別な区別を受けました。
5786	volume	音量、体積	By increasing the volume, the music becomes more enjoyable.	音量を上げると、音楽がより楽しめます。
5787	all of a sudden	突然、いきなり	He came home all of a sudden.	彼は突然、家に帰ってきました。
5788	gradually	徐々に	His health is improving gradually.	彼の健康は徐々に回復しています。
5789	efficiently	効率的に	He is known for completing tasks efficiently.	彼は効率的にタスクをこなすことで知られています。
5790	precisely	正確に	He found a way to solve the problem precisely.	彼は問題を正確に解決する方法を見つけました。
5791	facility	施設、設備	The new gymnasium is a fantastic facility for the local community.	その新しい体育館は地域の人々にとって素晴らしい施設です。
5792	community	コミュニティ、共同体	This community welcomes new members.	このコミュニティは新しいメンバーを歓迎します。
5793	landmark	名所、目印	The old church is an important landmark in the town.	その古い教会は町の重要な名所です。
5794	refund	払い戻し	I requested a refund because I was not satisfied with the product.	商品に満足できなかったので、払い戻しを要求しました。
5795	successfully	成功裏に、うまく	He completed the project successfully.	彼はプロジェクトを成功裏に完了しました。
5796	mentally	精神的に	He meditates every day to become mentally stronger.	彼は精神的に強くなるために、毎日瞑想をしています。
5797	eventually	最終的に	He failed many times, but eventually he achieved success.	彼は何度も失敗したが、最終的に成功を収めた。
5798	particularly	特に、特別に	She particularly likes to wear bright-colored clothes.	彼女は特に明るい色の服を好みます。
5799	vital	重要な、不可欠な	Water is a vital resource for our lives.	水は私たちの生命にとって非常に重要な資源です。
5800	be crazy about	夢中になる、熱中する	She is crazy about that band.	彼女はそのバンドに夢中です。
5801	in good shape	良い状態、健康状態	He stays in good shape by exercising every day.	彼は毎日運動しているので、いつも良い状態を保っています。
5802	apologize	謝罪する	He chose to apologize for his mistake.	彼は自分の過ちについて謝罪しました。
5803	derive	導き出す、引き出す	He was able to derive a new theory from the data.	彼はデータをもとに新しい理論を導き出しました。
5804	enforce	強化する、施行する	The police took strict measures to enforce the new law.	警察は新しい法律を強化するために厳しい措置を講じました。
5805	get along with	仲良くやる、うまくやっていく	She quickly got along with her new classmates.	彼女は新しいクラスメートとすぐに仲良くやりました。
5806	innocent	無実、無邪気	He smiled innocently after being proven innocent.	彼は無実であることが証明され、無邪気な笑顔を浮かべました。
5807	intense	強烈な、激しい	His intense speech had a powerful impact on the audience.	彼の情熱的な演講は、聴衆に強烈な影響を与えました。
5808	reliable	信頼できる	He is a reliable friend who always supports me.	彼は信頼できる友人で、常に私を支えてくれます。
5809	accurate	正確な、精密な	His measurements were very accurate.	彼の測定は非常に正確でした。
5810	inspire	刺激、感動を与える	His speech inspired many people.	彼のスピーチは多くの人々にインスピレーションを与えました。
5811	species	種、種族	There are various species of plants and animals living in this forest.	この森には様々な動植物の種が生息しています。
5812	vitamin	ビタミン	Vitamins are essential nutrients for maintaining health.	ビタミンは健康維持に欠かせない栄養素です。
5813	investigation	調査、捜査	The police initiated an investigation into the incident.	警察は事件の調査を始めました。
5814	make oneself understood	自分の意見を理解してもらう	He struggled to make himself understood in a different language area.	彼は異なる言語圏で自分の考えを理解してもらうのに苦労しました。
5815	emotional	感情的	She became emotional while watching the movie and cried.	彼女は映画を見て感情的になり、涙を流しました。
5816	adequate	適当な、十分な	His preparation was adequate for passing the exam.	彼の準備は試験に合格するのに十分でした。
5817	fluent	流暢	She can speak English fluently.	彼女は英語を流暢に話すことができます。
5818	independent	独立した、自立した	She is an independent woman who continues to pursue her dreams.	彼女は独立した女性であり、自分の夢を追い続けています。
5819	be superior to	優れている	His skills are reputed to be superior to those of his colleagues.	彼の技術は、同僚たちに対して優れていると評判です。
5820	creative	創造的な、独創的な	He succeeded in the project with his creative ideas.	彼は創造的なアイデアでプロジェクトを成功させました。
5821	ignorant	無知な	He needs to change his ignorant attitude.	彼は無知な態度を改める必要があります。
5822	enormous	巨大な、非常に大きな	The house has an enormous garden, and it is truly wonderful.	その家は巨大な庭を持っていて、本当に素晴らしいです。
5823	horrible	恐ろしい、ひどい	The movie was so horrible that it was incredibly boring.	その映画は恐ろしいほどつまらなかった。
5824	formerly	以前、かつて	He was formerly a successful businessman, but now he is retired.	彼は以前、成功したビジネスマンでしたが、今は引退しています。
5825	approximately	約、おおよそ	The project is estimated to take approximately three months.	そのプロジェクトは約3ヶ月かかると見積もられています。
5826	merely	単に、ただ	He is merely interested and doesn't seem to intend to do anything.	彼は単に興味を持っているだけで、実際には何もするつもりはないようです。
5827	temporarily	一時的に、仮の	He decided to stay in this town temporarily.	彼は一時的にこの町に滞在することに決めました。
5828	technically	技術的に	Technically speaking, this device is very efficient.	技術的に言えば、この装置は非常に効率的です。
5829	frequently	頻繁に	He frequently takes walks in the park.	彼は頻繁に公園を散歩します。
5830	extremely	非常に	She was looking at the scenery that was extremely beautiful.	彼女は非常に美しい景色を眺めていました。
5831	enthusiastic	熱心な、情熱的な	He is enthusiastic about soccer and watches games every weekend.	彼はサッカーに情熱的で、毎週末に試合を観戦しています。
5832	critical	批判的、重大な	His feedback was very critical, but it was vital for the success of the project.	彼のフィードバックは非常に批判的でしたが、プロジェクトの成功に不可欠でした。
5833	reluctant	ためらう、乗り気でない	He was reluctant to take on the new project.	彼は新しいプロジェクトに取り組むことにためらいを感じていました。
5834	be reluctant to	～したがらない、～に気が進まない	I am reluctant to ask him for help.	私は彼に助けを求めるのは気が進みません。
5835	feedback	フィードバック、反応、意見、評価	She gave me valuable feedback on my presentation.	彼女は私のプレゼンテーションに対する有益なフィードバックをくれました。
5836	philosophy	哲学	Philosophy offers profound insights into the meaning of life and existence.	哲学は人生の意味や存在についての深い考察を提供してくれます。
5837	publicity	公表、宣伝	The publicity from the product launch significantly boosted the company's visibility.	新製品の公表により、会社の宣伝効果が高まりました。
5838	authority	権威、権限	The authority has the power to announce new regulations.	その政府機関は新しい規制を発表する権威を持っています。
5839	consideration	考慮、配慮	He decided to treat his friend kindly in consideration of his feelings.	彼は友人の感情を考慮して、優しく接することにしました。
5840	pay attention to	注意を払う、気をつける	It's important to pay attention to the teacher's instructions during class.	授業中は先生の話に注意を払うことが大切です。
5841	maintain	維持する	He exercises every day to maintain his health.	彼は健康を維持するために毎日運動をしています。
5842	decline	減少、低下	His health has been in decline gradually.	彼の健康状態は徐々に低下しています。
5843	client	顧客、クライアント	Our goal is to provide the best service to our clients.	顧客に最適なサービスを提供することが私たちの目標です。
5844	remove	削除する	He decided to remove the old files.	彼は古いファイルを削除することに決めました。
5845	on schedule	予定通り	The project is progressing on schedule.	プロジェクトは予定通りに進行しています。
5846	comprehensive	包括的、広範囲にわたる	This report is very comprehensive regarding the topic.	このレポートはテーマに関して非常に包括的です。
5847	concrete	形のある、具体的な、コンクリート	We need concrete evidence to support our claims.	私たちの主張を裏付ける具体的な証拠が必要です。
5848	imply	暗示する、含意する	His words imply that he agrees with the plan.	彼の発言は、彼がその計画に同意していることを暗示しています。
5849	formation	形成、形成過程	The formation of the new team took time, but they eventually achieved excellent results.	新しいチームの形成には時間がかかりましたが、最終的に彼らは素晴らしい成果を出しました。
5850	income	収入	His income has increased, allowing him to lead a better life.	彼の収入が増えたので、より良い生活を送ることができるようになりました。
5851	routine	ルーチン、日課	Every morning, waking up at the same time and going for a jog is my routine.	毎朝、同じ時間に起きて、ジョギングをするのが私のルーチンです。
5852	wildlife	野生動物	In the reserve, you can observe beautiful wildlife.	保護区では、美しい野生動物を観察することができます。
5853	laboratory	実験室、研究室	The scientists are conducting research in the laboratory to develop a new drug.	科学者たちは新しい薬を開発するために実験室で研究を行っています。
5854	suburb	郊外	He lives with his family in a quiet town in the suburb.	彼は郊外にある静かな町で家族と一緒に暮らしています。
5855	select	選ぶ、選択する	He selected the best movie from among them.	彼はその中から最高の映画を選びました。
5856	cease	終了、停止	They decided to cease the conversation.	彼らは会話を終えることに決めた。
5857	make effort(s)	努力	He made a lot of efforts to achieve success.	彼は成功のために多くの努力をしました。
5859	forget to	忘れる、失念する	He forgot to attend the meeting.	彼は会議に参加するのを忘れてしまいました。
5860	forget ing	忘れること	He made an excuse that he forgot about the appointment.	彼は約束を忘れてしまったと言い訳をしました。
5861	pick up	拾い上げる、取る	He bent down to pick up the pen that had fallen on the ground.	彼は地面に落ちたペンを拾い上げました。
5862	used to	かつて、昔は	I used to jog every morning, but I don't do it anymore.	昔は、私は毎朝ジョギングをしていましたが、今はやっていません。
5863	in terms of	という観点で、という点で	She reported on the progress in terms of the budget.	彼女は進捗について、予算の観点で報告しました。
5864	invisible	目に見えない、透明な	She has limitless potential, but it is invisible to others.	彼女は無限の可能性を持っているが、それは他の人には目に見えない。
5865	apparent	明らかな、明瞭な	His joy was apparent, and it was clear to everyone who saw him.	彼の喜びは明らかで、誰の目にもそれが見て取れました。
5866	get used to	慣れる、慣れ親しむ	It took him a while to get used to the new environment.	彼は新しい環境に慣れるのに時間がかかりました。
5867	notably	特に、顕著に	She is notably an excellent student, having received numerous awards.	彼女は特に優れた学生で、多くの賞を受賞しています。
5868	relatively	比較的、相対的に	He has a relatively calm personality.	彼は比較的穏やかな性格の持ち主です。
5869	coincidence	偶然	It was a coincidence that we were at the same restaurant.	私たちが同じレストランにいるのは偶然でした。
5870	adolescence	思春期	Adolescence is a crucial period in an individual's development.	思春期は個人の成長において重要な時期です。
5871	evasion	逃避、回避	He must confront his responsibilities honestly instead of resorting to evasion.	彼は責任から逃げずに、誠実に向き合わなければなりません。
5872	sincerity	誠実さ	Her sincerity was a key factor in gaining the trust of her friends.	彼女の誠実さは、友人たちからの信頼を得るための大きな要因でした。
5873	ensure	確実にする、保証する	He made sure to ensure that all the procedures were followed correctly.	彼はすべての手続きが正しく行われるように、確認することを確実にしました。
5874	resume	履歴書	She updated her resume to apply for the new job.	彼女は新しい仕事に応募するために履歴書を更新しました。
5875	affiliate	提携、関連団体	The company has partnerships with many different brands as affiliates.	その企業は多くの異なるブランドと提携しています。
5876	confine	制限する、閉じ込める	He was confined in expressing his opinions.	彼は意見を表現することを制限されていました。
5877	insufficient	不十分、不足している	His explanation was insufficient, and more details were needed.	彼の説明は不十分で、さらに詳細が必要でした。
5878	irresistible	抗しがたい、魅力的	The cake was so irresistible that everyone couldn't help but take a bite.	そのケーキは抗しがたい魅力があり、誰もが一口食べたくなってしまいます。
5879	irritating	イライラさせる	His voice is so irritating that I can't concentrate.	彼の声はとてもイライラさせるので、集中できません。
5880	inappropriate	不適切な	His comments during the meeting were inappropriate.	その会議での彼の発言は不適切でした。
5881	triumph	勝利、成功	He achieved triumph in the race after years of hard work.	彼は長年の努力の末、ついにそのレースで勝利を収めました。
5882	strategy	戦略	It is important to develop an effective strategy in order to succeed.	成功するためには、効果的な戦略を立てることが重要です。
5883	hazard	危険、リスク	The job involves many hazards.	その仕事は多くの危険を伴います。
5884	inventory	在庫、目録	We conduct an inventory every month to check our stock.	在庫を確認するために、毎月棚卸しを行っています。
5885	cannot afford to do	お金が足りなくてできない	He cannot afford to buy a new car.	彼は新しい車を買うことができない。
5886	administer	管理する、施行する	The doctor administered medication to the patient and provided appropriate treatment.	医師は患者に薬を管理し、適切な治療を施しました。
5887	subsidize	助成金を出す	The government subsidizes companies to support environmental protection.	政府は環境保護のために企業を助成金で支援しています。
5888	diagnose	診断する	The doctor diagnosed the patient based on the symptoms.	医者は患者の症状を見て病気を診断しました。
5889	irregular heartbeat	不整脈	An irregular heartbeat can occasionally cause an erratic pulse.	不整脈は時々不規則な心拍を引き起こすことがあります。
5890	heartbeat	心拍	She felt her heartbeat quickening with anxiety.	彼女は緊張のあまり、心拍が速くなっているのを感じました。
5891	enhance	強化する、向上させる	We can enhance the product's performance by implementing new technology.	新しい技術を導入することで、製品の性能を強化することができる。
5892	clutch	クラッチ、握る	She clutched her hands together, feeling a surge of anxiety.	彼女は思わず手をクラッチして、緊張感を感じました。
5893	revolt	反乱	The citizens, filled with discontent, staged a revolt against the government.	民衆は不満を抱き、政府に対する反乱を起こしました。
5894	meditate	瞑想する	I refresh my mind by meditating in a quiet place every morning.	毎朝、静かな場所で瞑想することで心をリフレッシュします。
5895	venue	会場	The wedding took place in a beautiful venue.	結婚式は美しい会場で行われました。
5896	filthy	汚い、非常に不潔な	The room was filthy and needed a thorough cleaning.	その部屋はひどく汚れていて、掃除が必要です。
5897	informative	情報を提供する	The article was very informative.	その記事はとても情報を提供する内容でした。
5898	voluntary	自発的な	He decided to participate in volunteer activities voluntarily.	彼は自発的にボランティア活動に参加することを決めました。
5899	miscellaneous	様々な、雑多な	His desk was cluttered with miscellaneous papers.	彼のデスクには様々な資料が散らばっていました。
5900	emission	排出	The emission of carbon dioxide from factories is affecting the environment.	工場からの二酸化炭素の排出が環境に影響を与えています。
5901	loiter	たむろする	They appeared to be loitering in front of the school.	彼らは学校の前でたむろしているように見えた。
5902	waver	揺れる、ためらう	She began to waver before making her decision.	彼女は決断を下す前に少し揺れました。
5903	knead	こねる、捏ねる	Kneading the dough well creates a fluffy texture in the bread.	パン生地をよくこねることで、ふっくらとした食感が生まれます。
5904	audition for	オーディションを受ける	She auditioned for a role in the new movie.	彼女は新しい映画の役を得るためにオーディションを受けました。
5905	harsh	厳しい	His harsh words had a significant impact on me.	彼の厳しい言葉は、私に大きな影響を与えました。
5906	amicable	友好的な、和解的な	They resolved the issue through an amicable discussion.	彼らは友好的な話し合いを通じて問題を解決しました。
5907	fragile	壊れやすい	You need to be careful when handling the fragile cup.	その壊れやすいコップを扱うときは、注意が必要です。
5908	ban	禁止、禁止する	The government enacted a law to ban the use of plastic bags.	政府はプラスチックバッグの使用を禁止する法律を制定しました。
5909	abridged	縮約された、要約された	The book was too long, so an abridged version was published.	その本は長すぎたので、要約版が出版されました。
5910	molded	成形された	He molded the clay into various shapes.	彼は粘土で様々な形を成形しました。
5911	stunned	驚愕した	I was stunned by his sudden proposal.	彼の突然の提案に私は驚愕しました。
5912	deserted	人が少ない、人気のない	The town appeared abandoned, looking as if it had been deserted for a long time.	その町は長い間人々に見捨てられ、まるで荒れ果てたように見えた。
5913	cab	タクシー	The cab arrived quickly when I called for it.	タクシーを呼ぶと、すぐに到着しました。
5914	settle for	妥協する、受け入れる	He decided to settle for a less ideal job since he couldn't find the perfect one.	彼は完璧な仕事を見つけられず、その代わりに妥協することに決めました。
5915	stem from	由来する	His success stems from the unique perspective he possesses.	彼の成功は、彼が持っている独特の視点に由来しています。
5916	press secretary	報道官	The press secretary made an important announcement.	報道官は重要な声明を発表しました。
5917	issue at hand	問題、課題	We need to work together to address the issue at hand.	私たちが直面している問題を解決するために、皆で協力する必要があります。
5918	sober	酔っていない、しらふの	He returned home sober after the party.	彼はパーティーの後、しらふの状態で家に帰りました。
5919	rigid	硬直した、頑固な	His mindset was so rigid that he couldn't accept new ideas.	彼の考え方は非常に硬直していて、新しいアイデアを受け入れることができませんでした。
5920	nauseous	吐き気がする	I felt nauseous after eating his cooking.	彼の料理を食べてから、私はとても吐き気がしました。
5921	decent	まともな、適切な	He is a decent person who treats everyone kindly.	彼はとてもまともな人で、誰にでも優しく接します。
5922	career path	キャリアパス、キャリアを得るまでの道	She spent a lot of time figuring out her career path.	彼女は自分のキャリアパスを見つけるために多くの時間を費やしました。
5923	outrageous	非常識な、ひどい	That opinion was outrageous and unacceptable.	その意見は非常識で許しがたいものでした。
5924	eloquent	雄弁な、流暢な	She spoke eloquently about the issue.	彼女はその問題について非常に雄弁に話しました。
5925	infectious	感染性の、伝染性の	He was isolated in the hospital because he had an infectious disease.	彼は感染性の病気を持っているので、病院に隔離されました。
5926	designation	指定、称号	He feels a greater sense of responsibility after receiving the designation for his new position.	彼は新しい役職の指定を受けて、一層の責任を感じています。
5927	resolution	決意、解決策	He made a resolution to exercise every day as his New Year's commitment.	彼は新年の決意として、毎日運動することを誓いました。
5928	accusation	告発、非難	He decided to accept the accusation in order to prove his innocence.	彼は無実を証明するために、非難を受け入れることに決めました。
5929	fascination	魅力、魅了	Her paintings have a fascination that captivates many people.	彼女の絵画には多くの人々を魅了する魅力があります。
5930	coherence	一貫性、整合性	Coherence is crucial when writing an essay.	論文を書くときは、一貫性が重要です。
5931	testimony	証言	His testimony played a crucial role in the trial.	彼の証言は裁判で重要な役割を果たしました。
5932	rebellion	反乱、暴動	They decided to initiate a rebellion against the government.	彼らは政府に対する反乱を起こすことを決意しました。
5933	antique	骨董品	Her hobby is collecting antique items.	彼女は古い骨董品を集めるのが趣味です。
5934	snatch	素早く奪う	He snatched the bag and ran away.	彼はバッグを素早く奪って逃げ出しました。
5935	stroll	散歩すること	She enjoyed a leisurely stroll in the park.	彼女は公園でゆっくりと散歩を楽しみました。
5936	growl	うなる、低い声で吠える	The dog let out a low growl as the Shiba Inu approached.	犬は柴犬が近づくと低い声でうなりました。
5937	transmit	送信する、伝達する	He transmitted a message to his friend far away.	彼は遠くの友人にメッセージを送信しました。
5938	thoroughly	徹底的に、完全に	He investigated the issue thoroughly.	彼はその問題を徹底的に調査しました。
5939	recklessly	無謀に	He drove recklessly and ended up causing an accident.	彼は無謀に運転して、事故を起こしてしまいました。
5940	mutually	相互に、互いに	It is important for us to support each other mutually.	私たちは互いに助け合うことが大切です。
5941	unanimously	満場一致で、全会一致で	The decision at the meeting was approved unanimously.	会議での決定は満場一致で承認されました。
5942	provoke	挑発する、刺激する	He provoked his friend with a joke.	彼は冗談を言って友人を挑発しました。
5943	formulate	策定する、構築する	He conducted a thorough investigation to formulate a detailed plan.	彼は計画を策定するために詳細な調査を行いました。
5944	embarrass	恥ずかしい思いをさせる	He felt embarrassed after making a mistake in front of his friends.	彼は友達の前で失敗して、とても恥ずかしい思いをしました。
5945	allocate	配分する、割り当てる	It is important to allocate resources appropriately to the project.	リソースをプロジェクトに適切に配分することが重要です。
5946	exemption	免除	This student received an exemption from tuition fees due to their excellent grades.	この学生は成績が優秀なので、授業料の免除を受けました。
5947	renovation	改装、修繕	The renovation of the house is complete, and the new furniture has arrived.	家の改装が終わり、新しい家具が届きました。
5948	definition	定義	A definition explains the meaning of a word or concept clearly.	「定義」とは、ある言葉や概念の意味を明確に説明することです。
5949	distinguished	著名な、卓越した	He gave a speech at a conference attended by many distinguished scholars.	彼は多くの著名な学者が集まる会議でスピーチをしました。
5950	choke	窒息する	He almost choked after accidentally swallowing his food.	彼は食べ物を誤って飲み込んでしまい、窒息しそうになりました。
5951	devour	貪り食う、むさぼり食う	He devoured a plate of pasta in his hunger.	彼は空腹で一皿のパスタを貪り食いました。
5952	cherish	大切にする	She cherishes the memories with her family.	彼女は家族との思い出を大切にしています。
5953	leak	漏れ、漏出	I found a leak in the water pipe.	水道から水が漏れているのを見つけました。
5954	surrender	降伏	He decided to surrender after being surrounded by the enemy.	彼は敵に囲まれて、ついに降伏することに決めました。
5955	revoke	取り消す、無効にする	He decided to revoke the contract.	彼は契約を取り消すことを決めました。
5956	fabricate	製造する、作り上げる	The scientists used the latest technology to fabricate a new material.	科学者たちは新しい材料を製造するために最新の技術を使用しました。
5957	penetrate	貫通する、浸透する	This new technology has the ability to penetrate materials.	この新しい技術は、材料を貫通する能力を持っています。
5958	redeeming	救済	He created a redeeming opportunity to regain her trust.	彼は彼女の信頼を取り戻すために、救済の機会を作り出しました。
5959	imposing	威圧的な、堂々とした	He entered the meeting room with an imposing presence.	彼はその威圧的な姿勢で会議の場に入ってきました。
5960	tackle	取り組む、対処する	He held a meeting with the team to tackle the project.	彼はプロジェクトに取り組むためにチームと会議を開きました。
5961	evacuate	避難する、退避する	The residents were ordered to evacuate urgently as the storm approached.	住民は嵐が近づいているため、早急に避難するよう命じられました。
5962	humiliate	屈辱を与える	His failure publicly humiliated him.	彼の失敗は、彼を公然と屈辱を与える結果となった。
5963	speculate	推測する、推測	He struggled to speculate about her feelings.	彼は彼女の気持ちを推測するのに苦労していた。
5964	get furious	怒る、激怒する	She got furious when she found out he had lied to her.	彼が嘘をつかれたと知って、彼女は激怒しました。
5965	nutritious	栄養豊富な	This salad is very nutritious and packed with beneficial nutrients for the body.	このサラダはとても栄養豊富で、体に良い成分がたくさん含まれています。
5966	drastic	劇的な、急激な	His health has improved drastically.	彼の健康状態は劇的に改善しました。
5967	take measures against	対策を講じる	The government decided to implement new policies to take measures against environmental issues.	政府は環境問題に対処するために新しい政策を導入することを決定しました。
5968	illegal	違法な	He was arrested for making money through illegal means.	彼は違法な手段でお金を稼いでいたため、逮捕されました。
5969	deploy	展開する、配備する	We are ready to deploy the new system.	新しいシステムを展開する準備が整いました。
5970	deviate from	逸脱する	He decided to deviate from the plan and try a new approach.	彼は計画から逸脱して、新しいアプローチを試みました。
5971	evolve	進化する	Organisms evolve to adapt to their environments.	生物は環境に適応するために進化します。
5972	mimic	模倣する、真似る	He can expertly mimic the way his friend talks.	彼は友達の話し方を上手に真似することができます。
5973	demolish	破壊する、取り壊す	The old building was demolished to make way for a new skyscraper.	古い建物が新しいビルに取り壊されました。
5974	eject	排出する、追い出す	The player pressed the button to eject the disc.	プレイヤーはボタンを押してディスクを排出しました。
5975	alienate	疎外する	His insensitive words ended up alienating his friends.	彼の無神経な言葉は、友人たちを疎外する結果になった。
5976	devastate	壊滅させる、打撲する	The storm devastated the town, leaving many homes in ruins.	その嵐は町を壊滅させ、多くの家が破壊されました。
5977	torment	苦痛、苦悩	He felt constant torment in his heart, haunted by the trauma of his past.	彼は過去のトラウマに悩まされ、心の中で常に苦痛を感じていました。
5978	accelerate	加速する	The car accelerated on the steep hill.	車は急な坂道でスピードを加速しました。
5979	soothe	なだめる、鎮める	Her gentle voice helped to soothe the baby.	彼女の優しい声は赤ちゃんをなだめるのに役立ちました。
